method,scenario,RMSE_orig,MAE_orig,Std_RMSE
SAITS_seed123,10pct,2.5288,1.7414,0.3258
knn,10pct,4.5222,3.3846,0.5659
linear,10pct,4.5881,3.4865,0.5761
mice,10pct,4.8074,3.4457,0.5986
SAITS_seed123,20pct,2.6016,1.7931,0.3374
linear,20pct,4.5992,3.4987,0.5843
knn,20pct,4.8392,3.5663,0.6025
mice,20pct,5.4281,3.8842,0.6765
SAITS_seed123,block30d,3.3492,2.323,0.4241
knn,block30d,4.7639,3.5336,0.5948
mice,block30d,5.2535,3.7883,0.6578
linear,block30d,5.741,4.3194,0.7046
SAITS_seed123,block7d,2.7596,1.9115,0.3543
knn,block7d,4.6735,3.476,0.5848
linear,block7d,5.1639,3.8582,0.6445
mice,block7d,5.2176,3.7563,0.652
