method,scenario,variable,RMSE_orig,MAE_orig,Std_RMSE
linear,10pct,TMIN,2.1851,1.6045,0.3202
linear,10pct,TMEAN,1.7153,1.2608,0.21
linear,10pct,TMAX,2.446,1.8619,0.2498
linear,10pct,RH_MEAN,8.1101,6.5689,0.6274
linear,10pct,P_MEAN,13.3897,11.1962,1.2841
linear,10pct,WIND_MEAN,0.8397,0.6366,0.8937
linear,10pct,PRECIP,3.431,1.2763,0.4472
knn,10pct,TMIN,2.0366,1.5255,0.2984
knn,10pct,TMEAN,1.4397,0.8817,0.1762
knn,10pct,TMAX,2.522,1.7422,0.2576
knn,10pct,RH_MEAN,9.7385,7.8389,0.7533
knn,10pct,P_MEAN,10.4969,8.5883,1.0067
knn,10pct,WIND_MEAN,0.8163,0.6271,0.8688
knn,10pct,PRECIP,4.6057,2.4888,0.6003
mice,10pct,TMIN,3.4287,1.927,0.5024
mice,10pct,TMEAN,2.482,1.3211,0.3038
mice,10pct,TMAX,3.2445,1.8822,0.3313
mice,10pct,RH_MEAN,9.2246,7.3466,0.7136
mice,10pct,P_MEAN,10.2878,8.5235,0.9866
mice,10pct,WIND_MEAN,0.7525,0.5733,0.8009
mice,10pct,PRECIP,4.2314,2.546,0.5516
SAITS_seed123,10pct,TMIN,1.9371,1.5634,0.2838
SAITS_seed123,10pct,TMEAN,1.0712,0.8339,0.1311
SAITS_seed123,10pct,TMAX,2.1719,1.6887,0.2218
SAITS_seed123,10pct,RH_MEAN,6.0589,4.848,0.4687
SAITS_seed123,10pct,P_MEAN,2.2677,1.6717,0.2175
SAITS_seed123,10pct,WIND_MEAN,0.4401,0.3105,0.4685
SAITS_seed123,10pct,PRECIP,3.7548,1.2739,0.4894
linear,20pct,TMIN,2.1383,1.605,0.3133
linear,20pct,TMEAN,1.7333,1.3,0.2122
linear,20pct,TMAX,2.4606,1.8346,0.2513
linear,20pct,RH_MEAN,7.9596,6.3781,0.6157
linear,20pct,P_MEAN,13.5105,11.2788,1.2957
linear,20pct,WIND_MEAN,0.8884,0.68,0.9455
linear,20pct,PRECIP,3.5038,1.4143,0.4567
knn,20pct,TMIN,2.5209,1.7608,0.3694
knn,20pct,TMEAN,2.0862,1.2069,0.2554
knn,20pct,TMAX,3.1226,2.1089,0.3189
knn,20pct,RH_MEAN,10.469,8.3076,0.8098
knn,20pct,P_MEAN,10.5489,8.5572,1.0117
knn,20pct,WIND_MEAN,0.8393,0.6416,0.8933
knn,20pct,PRECIP,4.2875,2.3809,0.5589
mice,20pct,TMIN,4.4852,2.7187,0.6572
mice,20pct,TMEAN,3.5081,2.0875,0.4294
mice,20pct,TMAX,4.432,2.6662,0.4526
mice,20pct,RH_MEAN,10.0606,7.9808,0.7782
mice,20pct,P_MEAN,10.2758,8.453,0.9855
