method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
SAITS,10pct,123,17155,45.0,45.0,0.0,5.338888888888889,5.335211267605634,0.0036776212832547728,17.0,16.0,1.0,360,355
SAITS,10pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.36676217765043,0.20377875223606523,17.0,18.599999999999966,1.599999999999966,362,349
SAITS,10pct,123,17748,44.0,44.0,0.0,5.156424581005586,5.153846153846154,0.0025784271594320174,17.149999999999977,17.5,0.35000000000002274,358,351
SAITS,10pct,123,17750,48.0,48.0,0.0,5.701807228915663,5.7682926829268295,0.06648545401116657,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.25,0.08888888888888857,17.0,16.0,1.0,360,360
SAITS,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.136111111111111,0.026872314303253653,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,42,17748,44.0,44.0,0.0,5.156424581005586,4.966759002770083,0.18966557823550279,17.149999999999977,16.0,1.1499999999999773,358,361
SAITS,10pct,42,17750,48.0,48.0,0.0,5.701807228915663,5.734756097560975,0.032948868645312324,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,7,17155,45.0,45.0,0.0,5.338888888888889,5.092896174863388,0.24599271402550027,17.0,15.0,2.0,360,366
SAITS,10pct,7,17704,44.0,44.0,0.0,5.162983425414365,5.0777777777777775,0.08520564763658722,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,7,17748,44.0,39.0,5.0,5.156424581005586,4.561038961038961,0.595385619966625,17.149999999999977,14.0,3.1499999999999773,358,385
SAITS,10pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.573134328358209,0.12867290055745428,19.44999999999999,19.30000000000001,0.14999999999997726,332,335
SAITS,20pct,123,17155,45.0,45.0,0.0,5.338888888888889,4.85978835978836,0.4791005291005286,17.0,15.149999999999977,1.8500000000000227,360,378
SAITS,20pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.079234972677596,0.0837484527367689,17.0,17.0,0.0,362,366
SAITS,20pct,123,17748,44.0,44.0,0.0,5.156424581005586,4.646437994722955,0.5099865862826309,17.149999999999977,16.0,1.1499999999999773,358,379
SAITS,20pct,123,17750,48.0,45.0,3.0,5.701807228915663,5.861538461538461,0.1597312326227982,19.44999999999999,20.0,0.5500000000000114,332,325
SAITS,20pct,42,17155,45.0,45.0,0.0,5.338888888888889,4.371638141809291,0.9672507470795972,17.0,14.0,3.0,360,409
SAITS,20pct,42,17704,44.0,44.0,0.0,5.162983425414365,4.836898395721925,0.3260850296924396,17.0,16.0,1.0,362,374
SAITS,20pct,42,17748,44.0,43.0,1.0,5.156424581005586,4.25990099009901,0.8965235909065763,17.149999999999977,15.0,2.1499999999999773,358,404
SAITS,20pct,42,17750,48.0,45.0,3.0,5.701807228915663,5.5,0.20180722891566294,19.44999999999999,19.149999999999977,0.30000000000001137,332,338
SAITS,20pct,7,17155,45.0,30.0,15.0,5.338888888888889,4.123515439429929,1.2153734494589594,17.0,13.0,4.0,360,421
SAITS,20pct,7,17704,44.0,44.0,0.0,5.162983425414365,4.6217616580310885,0.5412217673832762,17.0,15.0,2.0,362,386
SAITS,20pct,7,17748,44.0,43.0,1.0,5.156424581005586,3.6502242152466366,1.5062003657589496,17.149999999999977,11.75,5.399999999999977,358,446
SAITS,20pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.0055555555555555,0.6962516733601074,19.44999999999999,15.0,4.449999999999989,332,360
WGAN-GP_raw,10pct,42,17155,45.0,30.0,15.0,5.338888888888889,3.770065075921909,1.5688238129669796,17.0,11.0,6.0,360,461
WGAN-GP_raw,10pct,42,17704,44.0,28.0,16.0,5.162983425414365,3.6806167400881056,1.4823666853262591,17.0,10.349999999999966,6.650000000000034,362,454
WGAN-GP_raw,10pct,42,17748,44.0,23.0,21.0,5.156424581005586,3.5450643776824036,1.6113602033231826,17.149999999999977,9.75,7.399999999999977,358,466
WGAN-GP_raw,10pct,42,17750,48.0,45.0,3.0,5.701807228915663,3.928735632183908,1.773071596731755,19.44999999999999,12.0,7.449999999999989,332,435
WGAN-GP_raw,20pct,42,17155,45.0,18.0,27.0,5.338888888888889,2.811355311355311,2.5275335775335774,17.0,7.75,9.25,360,546
WGAN-GP_raw,20pct,42,17704,44.0,23.0,21.0,5.162983425414365,2.864406779661017,2.298576645753348,17.0,8.0,9.0,362,531
WGAN-GP_raw,20pct,42,17748,44.0,26.0,18.0,5.156424581005586,2.8697318007662833,2.286692780239303,17.149999999999977,9.0,8.149999999999977,358,522
WGAN-GP_raw,20pct,42,17750,48.0,15.0,33.0,5.701807228915663,2.922779922779923,2.77902730613574,19.44999999999999,8.0,11.449999999999989,332,518
WGAN-GP_raw,block30d,42,17155,45.0,34.0,11.0,5.338888888888889,4.693939393939394,0.6449494949494943,17.0,15.550000000000011,1.4499999999999886,360,330
WGAN-GP_raw,block30d,42,17704,44.0,37.0,7.0,5.162983425414365,4.589820359281437,0.5731630661329277,17.0,13.349999999999966,3.650000000000034,362,334
WGAN-GP_raw,block30d,42,17748,44.0,39.0,5.0,5.156424581005586,4.5119760479041915,0.6444485331013947,17.149999999999977,14.349999999999966,2.8000000000000114,358,334
WGAN-GP_raw,block30d,42,17750,48.0,38.0,10.0,5.701807228915663,4.8955696202531644,0.8062376086624985,19.44999999999999,15.0,4.449999999999989,332,316
WGAN-GP_raw,block7d,42,17155,45.0,18.0,27.0,5.338888888888889,3.471111111111111,1.8677777777777775,17.0,10.0,7.0,360,450
WGAN-GP_raw,block7d,42,17704,44.0,19.0,25.0,5.162983425414365,3.435374149659864,1.7276092757545007,17.0,10.0,7.0,362,441
WGAN-GP_raw,block7d,42,17748,44.0,28.0,16.0,5.156424581005586,3.4871794871794872,1.669245093826099,17.149999999999977,11.0,6.149999999999977,358,429
WGAN-GP_raw,block7d,42,17750,48.0,21.0,27.0,5.701807228915663,3.669047619047619,2.032759609868044,19.44999999999999,12.0,7.449999999999989,332,420
WGAN-GP_raw,10pct,42,17155,45.0,30.0,15.0,5.338888888888889,3.770065075921909,1.5688238129669796,17.0,11.0,6.0,360,461
WGAN-GP_raw,10pct,42,17704,44.0,28.0,16.0,5.162983425414365,3.6806167400881056,1.4823666853262591,17.0,10.349999999999966,6.650000000000034,362,454
WGAN-GP_raw,10pct,42,17748,44.0,23.0,21.0,5.156424581005586,3.5450643776824036,1.6113602033231826,17.149999999999977,9.75,7.399999999999977,358,466
WGAN-GP_raw,10pct,42,17750,48.0,45.0,3.0,5.701807228915663,3.928735632183908,1.773071596731755,19.44999999999999,12.0,7.449999999999989,332,435
WGAN-GP_raw,20pct,42,17155,45.0,18.0,27.0,5.338888888888889,2.811355311355311,2.5275335775335774,17.0,7.75,9.25,360,546
WGAN-GP_raw,20pct,42,17704,44.0,23.0,21.0,5.162983425414365,2.864406779661017,2.298576645753348,17.0,8.0,9.0,362,531
WGAN-GP_raw,20pct,42,17748,44.0,26.0,18.0,5.156424581005586,2.8697318007662833,2.286692780239303,17.149999999999977,9.0,8.149999999999977,358,522
WGAN-GP_raw,20pct,42,17750,48.0,15.0,33.0,5.701807228915663,2.922779922779923,2.77902730613574,19.44999999999999,8.0,11.449999999999989,332,518
